ID,곡,아티스트,예상 난이도,장르,분위기 유형,핵심 테크닉 태그,설명 feature,상태
S0001,Billie Jean,Michael Jackson,Lv.1,Pop;Funk Pop,그루브/펑키,8비트;옥타브;뮤트;포켓,"포켓/그루브가 전부인 펑키 타입. 쉼표, 고스트노트, 액센트 컨트롤이 포인트. 난이도 Lv.1(입문) — 핵심: 8비트, 옥타브, 뮤트. 단순하지만 포켓이 전부. 드럼 킥과 1:1로 붙이는 연습. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0002,뛰어!,DAY6,Lv.1,Korea;Pop Rock,신나는/질주,리프반복;타이트한8비트;뮤트;포지션이동,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.1(입문) — 핵심: 리프반복, 타이트한8비트, 뮤트. K-밴드 기본 리프 스타일. 합주에서 드럼 킥에 붙는 습관 만들기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0003,Seven Nation Army,The White Stripes,Lv.1,Rock,신나는/질주,리프반복;타이트한8비트;뮤트;포지션이동,"달리는 에너지의 곡. 일정한 어택과 지구력(오른손/왼손)이 실력의 대부분. 난이도 Lv.1(입문) — 핵심: 리프반복, 타이트한8비트, 뮤트. 리프 반복곡이라 ‘같은 톤/어택’으로 끝까지 밀고 가는 게 포인트. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0004,Three Little Birds,Bob Marley & The Wailers,Lv.1,Reggae,여유/레게,오프비트;롱톤;포켓;뮤트,"뒤로 눕는(laid-back) 레게 포켓. 빈 공간을 살리고 1박의 무게를 유지하는 게 포인트. 난이도 Lv.1(입문) — 핵심: 오프비트, 롱톤, 포켓. 레게의 ‘빈 공간’ 감각을 익히기 좋음. 너무 앞서지 않게 뒤로 눕기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0005,벚꽃 엔딩,버스커 버스커,Lv.1,Korea;Pop Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.1(입문) — 핵심: 리프반복, 타이트한8비트, 뮤트. 코드 진행 위에 베이스가 안정적으로 받쳐주는 타입. 음정/롱톤 컨트롤. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0006,Zombie,The Cranberries,Lv.1,Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.1(입문) — 핵심: 리프반복, 타이트한8비트, 뮤트. 코드톤을 묵직하게 깔아주는 타입. 소리 크게 내기보다 ‘정확하게’. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0007,With or Without You,U2,Lv.1,Rock,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.1(입문) — 핵심: 리프반복, 타이트한8비트, 뮤트. 2마디 패턴을 ‘메트로놈처럼’ 유지. 다이내믹으로 곡의 빌드를 만들기. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0008,Stand By Me,Ben E. King,Lv.1,Soul;R&B,잔잔한/감성,리프반복;타이트한8비트;뮤트;포지션이동;롱톤,"잔잔하고 서정적인 분위기. 베이스가 ‘톤/음 길이’로 곡의 감정을 받쳐줘야 함. 난이도 Lv.1(입문) — 핵심: 리프반복, 타이트한8비트, 뮤트. 쉬워 보여도 음 길이/볼륨이 흔들리면 바로 무너짐. 롱톤을 예쁘게. 킥 드럼과 타이트하게 붙이면서 음 길이(특히 쉼표)를 정확히 통제.",추천
S0009,Boogie Wonderland,"Earth, Wind & Fire",Lv.1,Disco;Funk,흥겨운/댄서블,8비트;옥타브;뮤트;포켓,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.1(입문) — 핵심: 8비트, 옥타브, 뮤트. 반복 리프를 흔들리지 않게 유지하는 연습에 최적. 박이 흔들리면 바로 티 남. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
S0010,After Midnight,ASTRO,Lv.1,Korea;Disco,흥겨운/댄서블,8비트;옥타브;뮤트;포켓,"리듬이 앞으로 끌고 가는 댄서블한 곡. 킥과 포켓을 타이트하게 맞추는 게 핵심. 난이도 Lv.1(입문) — 핵심: 8비트, 옥타브, 뮤트. 루트/옥타브 중심으로 ‘쿵-짝’ 타이밍만 정확히 맞춰도 완성도가 확 올라감. 옥타브 점프에서 왼손 뮤트(안 쓰는 줄)를 확실히 잡아 노이즈를 줄이기.",추천
