achievement_id,group_id,name,tier,tier_name,category,rarity,rule_type,rule_filter,target,xp_reward,description,evidence_hint,is_hidden,hint,auto_grant,ui_badge_style
ACH_AB_T1,ACH_AB,A/B 스위치 입문,1,동,루틴,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""AB_COMPARE""]}",3,120,"A/B 비교 체크 세션 3회 달성 시 해금됩니다.
팁: 세션 저장에서 'A/B 비교'를 체크하고, 비교 포인트를 노트에 한 줄 남기세요.","세션 저장에서 'A/B 비교'를 체크하고, 비교 포인트를 노트에 한 줄 남기세요.",false,,true,bronze
ACH_AB_T2,ACH_AB,A/B 실험실 고정석,2,은,루틴,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""AB_COMPARE""]}",12,220,"A/B 비교 체크 세션 12회 달성 시 해금됩니다.
팁: 세션 저장에서 'A/B 비교'를 체크하고, 비교 포인트를 노트에 한 줄 남기세요.","세션 저장에서 'A/B 비교'를 체크하고, 비교 포인트를 노트에 한 줄 남기세요.",false,,true,silver
ACH_CLEAN_T1,ACH_CLEAN,무소음 챌린지 입문,1,동,루틴,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CLEAN_MUTE""]}",8,120,"클린 뮤트 체크 세션 8회 달성 시 해금됩니다.
팁: 왼손/오른손 뮤트를 먼저 안정시킨 뒤 템포를 올리면 달성 속도가 빨라집니다.",왼손/오른손 뮤트를 먼저 안정시킨 뒤 템포를 올리면 달성 속도가 빨라집니다.,false,,true,bronze
ACH_CLEAN_T2,ACH_CLEAN,무소음 루틴 장인,2,은,루틴,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CLEAN_MUTE""]}",30,220,"클린 뮤트 체크 세션 30회 달성 시 해금됩니다.
팁: 왼손/오른손 뮤트를 먼저 안정시킨 뒤 템포를 올리면 달성 속도가 빨라집니다.",왼손/오른손 뮤트를 먼저 안정시킨 뒤 템포를 올리면 달성 속도가 빨라집니다.,false,,true,silver
ACH_CORE_T1,ACH_CORE,코어 출석 체크,1,동,루틴,common,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE""]}",10,110,"Core 드릴 세션 10회 달성 시 해금됩니다.
팁: 10분 단위 코어 루틴을 끊기지 않게 누적해 주세요.",10분 단위 코어 루틴을 끊기지 않게 누적해 주세요.,false,,true,bronze
ACH_CORE_T2,ACH_CORE,코어 루틴 성실러,2,은,루틴,rare,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE""]}",40,210,"Core 드릴 세션 40회 달성 시 해금됩니다.
팁: 10분 단위 코어 루틴을 끊기지 않게 누적해 주세요.",10분 단위 코어 루틴을 끊기지 않게 누적해 주세요.,false,,true,silver
ACH_CORE_T3,ACH_CORE,코어 루틴 설계자,3,금,루틴,epic,count_events,"{""event_type"": ""SESSION"", ""tags_any"": [""CORE""]}",120,340,"Core 드릴 세션 120회 달성 시 해금됩니다.
팁: 10분 단위 코어 루틴을 끊기지 않게 누적해 주세요.",10분 단위 코어 루틴을 끊기지 않게 누적해 주세요.,false,,true,gold
ACH_DCOLLECT_T1,ACH_DCOLLECT,드릴 탐험가,1,동,드릴,common,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",5,140,"서로 다른 드릴 5개 달성 시 해금됩니다.
팁: 같은 드릴만 반복하지 말고 주간마다 새로운 드릴을 하나씩 추가해 보세요.",같은 드릴만 반복하지 말고 주간마다 새로운 드릴을 하나씩 추가해 보세요.,false,,true,bronze
ACH_DCOLLECT_T2,ACH_DCOLLECT,드릴 큐레이터,2,은,드릴,rare,distinct_count,"{""event_type"": ""SESSION"", ""field"": ""drill_id""}",15,260,"서로 다른 드릴 15개 달성 시 해금됩니다.
팁: 같은 드릴만 반복하지 말고 주간마다 새로운 드릴을 하나씩 추가해 보세요.",같은 드릴만 반복하지 말고 주간마다 새로운 드릴을 하나씩 추가해 보세요.,false,,true,silver
ACH_DURATION_T1,ACH_DURATION,베이스 시동 걸기,1,동,성장,common,sum_duration,"{""event_type"": ""SESSION""}",600,150,"총 연습 시간 600분 달성 시 해금됩니다.
팁: 짧게라도 매일 이어가는 누적이 가장 강력합니다.",짧게라도 매일 이어가는 누적이 가장 강력합니다.,false,,true,bronze
