drill_id,name,description,area,favorite,tags,bpm_min,bpm_max,bpm_step,default_backing_id,image_path,image_url,resource,notes,created_at,last_used_at
D001,클린 뮤트 루틴 8분,왼손/오른손 뮤트로 쉼표 공진 0 목표,기본기,false,박자;8분음표,,,5,,,,,,,
D002,2&4 포켓 10분,메트로놈 2&4에 두고 16분 그리드 유지,기본기,false,박자;16분음표,,,5,,,,,,,
D003,1마디 1번 클릭 5분,고급: 1마디 1번 클릭으로 타임 유지,기본기,false,박자;지구력,,,5,,,,,,,
D004,다이내믹 5분,같은 음을 p→mf→f로 볼륨 균등,기본기,false,다이내믹,,,5,,,,,,,
D005,포지션 맵핑 10분,같은 음 다른 줄/포지션 찾기,기본기,false,포지션,,,5,,,,,,,
D006,고스트 16분 엔진 10분,고스트를 리듬으로만 들리게,펑크&재즈,false,고스트;16분음표;그루브,,,5,,,,,,,
D007,크로매틱 접근 10분,다음 목표음(코드톤)으로 반음 접근,펑크&재즈,false,크로매틱;코드톤,,,5,,,,,,,
D008,ii-V 라인 만들기 15분,코드톤 위주로 8마디 라인 만들기,펑크&재즈,false,진행;코드톤;컴핑,,,5,,,,,,,
D009,워킹 베이스 15분,"강박=코드톤, 약박=연결",펑크&재즈,false,워킹;진행,,,5,,,,,,,
D010,리듬 읽기 10분,리듬만 정확히(뮤트 스트로크),악보/이론,false,리딩;8분음표,,,5,,,,,,,
D011,Nashville 도수로 적기 10분,루트 진행을 도수로 기록,악보/이론,false,인터벌;진행,,,5,,,,,,,
D012,코드톤 훈련 10분,1-3-5-7 arpeggio로 연결,악보/이론,false,코드톤;인터벌,,,5,,,,,,,
D013,슬랩 기본(엄지 다운) 10분,소리 균등 + 잡음 제어,슬랩,false,슬랩;클린,,,5,,,,,,,
D014,팝 정확도 8분,팝 음량/타임 균등,슬랩,false,슬랩;스피드,,,5,,,,,,,
D015,슬랩 그루브 10분,짧게 끊기 + 고스트,슬랩,false,슬랩;그루브;고스트,,,5,,,,,,,
